municipio,regiao,nome,tipo,endereco,telefone,email,quantidade_ciptea,quantidade_cipf,quantidade_passe_livre
Balneário Rincão,Sul,APAE de Balneário Rincão,Ambos,"R. Clovis Cruz - Zona Sul, Balneário Rincão - SC, 88836-000",(48) 99625-0167,balneariorincao@apaesc.org.br,,,
Blumenau,Vale do Itajaí,APAE DE BLUMENAU,Ambos,"Rua Casemiro de Abreu, 216, Vila Nova",(47)3323-0000 / (47)9601-9111,blumenau@apaesc.org.br,,,
Bom Retiro,Vale do Itajaí,APAE DE BOM RETIRO,CIPTEA,"Rua Martinho Cascaes, nº 90 - Centro - Bom Retiro/SC",(49) 3277-0148,apaebomretirosc@gmail.com,,,
Braço do Norte,Sul,APAE DE BRAÇO DO NORTE,Ambos,"Rua João Eleodoro Nunes, nº74, Bairro Bela Vista - Braço do Norte – SC – CEP: 88.750-000",(48) 3658-3214 / (48) 9923-9676,apaebn@hotmail.com,,,
Brusque,Vale do Itajaí,AMA BRUSQUE,CIPTEA,"Avenida Getúlio Vargas, 63/ sala 03B – Centro - Brusque - CEP 88.353-900",(47)3212-5492 / (47) 99280-2881,adm.amabrusque@gmail.com,,,
Caçador,Oeste,AMA CAÇADOR,CIPTEA,"Rua Hercílio Luz, 155 - Bairro Paraíso - 89503009",(49) 3563 1360 / (49) 92000 9268,atendimento.amacdr@gmail.com,,,
Caçador,Oeste,APAE DE CAÇADOR,Passe Livre,"R. Dr. Altamiro Guimarães, 543, Centro 89500-000",(49) 3563-6871,apaecacador@conection.com.br,,,
Camboriú,Vale do Itajaí,APAE DE CAMBORIÚ,Passe Livre,"Avenida Minas Gerais, 666, Centro 88340143",(47) 3365-1334,escola@apaecamboriu.org.br,,,
Campo Erê,Oeste,APAE CAMPO ERÊ,Ambos,"Av Antonio Mendes, 959 Centro, 89980-000",-,escolaapae_campoere@hotmail.com,,,
Campos Novos,Oeste,AMA CAMPOS NOVOS,CIPTEA,"Rua Barão de Itapetininga, nº 316 – Centro - Campos Novos CEP: 89.620.000",(49) 3541-0322,ama.camposnovos@hotmail.com,,,
Campos Novos,Oeste,APAE DE CAMPOS NOVOS,Passe Livre,"Avenida Caetano Belincanta Neto, nº 1051",(49) 3541-0014,educ_especial08@sed.sc.gov.br,,,
Canelinha,Grande Florianópolis,APAE DE CANELINHA,Ambos,"Avenida Prefeito Silvestre Nunes Junior, Nº 75 / Canelinha / Centro",(48) 3264-0962,apaecanelinha@yahoo.com.br,,,
Canoinhas,Norte,APAE DE CANOINHAS,Ambos,"Rua Senador Felipe Schmidt, nº 658 - Centro - Canoinhas - CEP 89460 000",(47) 3622 1774,apaecni@hotmail.com,,,
Capinzal,Oeste,APAE DE CAPINZAL,Ambos,"Rua Agenor Trancoso, nº 378 - Bairro São Luiz – Capinzal/ SC – CEP: 89665-000",(49) 3555 5038,apae@capinzal.sc.gov.br,,,
Capivari de Baixo,Sul,APAE DE CAPIVARI DE BAIXO,Ambos,"Avenida General Mendonça Lima, nº 399 - Bairro: Centro - Capivari de Baixo – CEP: 88745000",(48) 3623-3080,apaecapivari@hotmail.com,,,
Catanduvas,Oeste,APAE DE CATANDUVAS,Ambos,"Rua Almirante Tamandaré,nº 2836, Bairro Centro, 89670-000",(49) 3525-1325,apaecatanduvas@hotmail.com,,,
Chapecó,Oeste,CAPP CHAPECÓ - CENTRO ASSOCIATIVO DE ATIVIDADES PSICOFÍSICAS PATRICK,Passe Livre,"Avenida Fernando Machado, 432-E - Centro - Chapecó / SC",(49) 3322-4353 / 3322-3919,vmdarosacopp@hotmail.com,,,
Cocal do Sul,Sul,APAE DE COCAL DO SUL,Ambos,"Rua Ambrósio Dalló, 1464 - União - Cocal do Sul/ SC",(48) 3447-6059 / (48) 8825-4862,financeiro@apaecocaldosul.org.br,,,
Concórdia,Oeste,APAE DE CONCÓRDIA,Ambos,"Rua: Anita Garibaldi, nº 1298 - Bairro:Vista Alegre",(49) 3442-2730,recantoazul.apae@yahoo.com.br,,,
Coronel Freitas,Oeste,APAE DE CORONEL FREITAS,Ambos,"Rua Sete de Setembro, 639, Bairro Passo de Areia, 89840-000",49 3347-0029,apae_celfreitas@yahoo.com.br,,,
Criciúma,Sul,AMAREC CRICIÚMA - Associação de Pais e Amigos de Autistas da Região Carbonífera,CIPTEA,"Rua Antônio Rossi, 215 - Bairro Vila Zuleima - Criciúma/ SC - CEP 88817-140",(48) 3462-9804,amarecsc@hotmail.com,,,
Criciúma,Sul,APAE CRICIÚMA,Passe Livre,"Rua Imigrante de Luca, 600, Pinheirinho 88804600",(48)3438-1457 / (48)3438-2543,apaecri@yahoo.com,,,
Cunha Porã,Oeste,APAE DE CUNHA PORÃ,Ambos,"Rua Santa Catarina, s/nº - Bairro Colina Verde – Cunha Porã – SC, CEP. 89890-000",(49) 3646-0413 / (49) 3646-0046,apaecunhapora@cpnet.com.br,,,
Curitibanos,Serra,APAE DE CURITIBANOS,Passe Livre,"Rua Juraci M Schimidt, 156-224, Nossa Sra. Aparecida 89520-000",(49) 3245-0915,apaecuritibanos@hotmail.com,,,
Curitibanos,Serra,AMA CURITIBANOS,CIPTEA,"Rua Lydio Romulo Colônia, 27, Cohab 89520000",(49) 31910472,amacuritibanos@outlook.com,,,
Descanso,Oeste,APAE DE DESCANSO,Ambos,"Rua Jose Wronski, 299 Centro Cep 88910-000",(49) 3623-0381,apaededescanso@gmail.com,,,
Faxinal dos Guedes,Oeste,APAE de Faxinal dos Guedes,Ambos,"R. João Fachinelo, 588 - São Cristóvão, Faxinal dos Guedes - SC, 89694-000",(49) 3436-0023,apae_faxinal@yahoo.com.br,,,
Florianópolis,Grande Florianópolis,APAE DE FLORIANÓPOLIS,CIPTEA,"Rod. Admar Gonzaga, 2937, Itacorubi 88034-001",(48) 3953-3000,contato@apae.floripa.br,,,
Florianópolis,Grande Florianópolis,APAR Florianópolis (Pacientes Renais),Passe Livre,"Av. Pref. Osmar Cunha, 183 - 307 - Centro, Florianópolis - SC, 88015-900",(48) 3224-9286,apar@aparsc.org.br,,,
Forquilinha,Sul,APAE DE FORQUILHINHA,Ambos,"Rua São José, Nº 01 - Bairro Ouro Negro - Forquilhinha - SC",(48) 3463-1698 / (48) 99852-9506,apaeforquilhinha@ibest.com.br,,,
Galvão,Oeste,APAE DE GALVÃO,Ambos,"Av Sete de Setembro, 1047 Centro, 89.838-000",(49) 3342-1600,apaegalvao@yahoo.com,,,
Garopaba,Sul,AMAG Garopaba,CIPTEA,"Estrada Geral Ambrosio De Fora, 0, Ambrosio, Garopaba-SC, CEP 88495-000",(48) 99640-4763,associacaodosamigoseautistasde@gmail.com,,,
Gaspar,Vale do Itajaí,APAE DE GASPAR,Ambos,"Rua Mafra, nº 99 - Bairro Santa Terezinha - Gaspar – SC - CEP: 89110-000",(47) 3332-8066 / 3332-7039,apaegaspar@terra.com,,,
Grão Pará,Sul,APAE DE GRÃO PARÁ,Ambos,"Vereador Valentim Bussolo,152, Grão Pará 88890000",(48) 3652-1663,apaegp@hotmail.com,,,
Gravatal,Sul,APAE DE GRAVATAL,Ambos,"Rua Nuncio Bez, nº 200, Centro, Gravatal/SC CEP: 88.735-000",(48) 3642-2337,apaegravatal@bol.com.br,,,
Guaraciaba,Oeste,APAE DE GUARACIABA,Ambos,"Rua Presidente Kennedy, nº 232, Bairro Centro, Guaraciaba, 89.920-000",(49) 3645-0583,apaeguaraciaba@gmail.com,,,
Guaramirim,Norte,APAE DE GUARAMIRIM,CIPTEA,"Rua Pedro Graf, 271 / Bairro Avaí – Guaramirim - SC",(47) 3373-0140,caespguaramirim@gmail.com,,,
Guarujá do Sul,Oeste,APAE DE GUARUJÁ,CIPTEA,"Rua Dulce Schmitz Kuhn, Bairro Centro, 89940-000",(49) 3642-0303,apaeguarujadosul@hotmail.com,,,
Ibirama,Vale do Itajaí,APAE DE IBIRAMA,CIPTEA,"Rua 25 De Julho, nº 1182 - 25 De Julho – Ibirama -SC",(47) 3357-5291,apae@ibirama.sc.gov.br,,,
Içara,Sul,APAE DE IÇARA,Ambos,"Rua Amaro Maurício Cardoso, 915, Cristo Rei 88820-000",(48) 3432-3184,icara@apaesc.org.br,,,
Ilhota,Vale do Itajaí,APAE DE ILHOTA,CIPTEA,Rua Dr. Leoberto Leal nº 250 - Bairro: Centro – Ilhota – SC,(47) 3343-1387,apaedeilhota@hotmail.com,,,
Imaruí,Sul,APAE DE IMARUÍ,CIPTEA,"Rua Senhor dos Passos, Bairro Centro, 88770-000",(48) 3643-0251,caespimarui@gmail.com,,,
Indaial,Vale do Itajaí,APAE DE INDAIAL,Ambos,"Rua Rio de Janeiro, 443, Do Sol 89086000",(47) 3333-0032,apaeind@hotmail.com,,,
Iporã do Oeste,Oeste,APAE DE IPORÃ DO OESTE,Ambos,"Rua Balduíno Wandscheer, Nº 30 – Centro - CEP: 89.899-000 - Iporã Do Oeste - SC",(49) 3634-1417,apaeipora@yahoo.com.br,,,
Ipuaçu,Oeste,APAE DE IPUAÇÚ,Ambos,"Rua: Lamer, nº 677 – CEP: 89832000 - Bairro: Centro - Ipuaçu",(49) 3449-0288,apaeipuacu@jnet.com.br,,,
Iraceminha,Oeste,APAE DE IRACEMINHA,CIPTEA,"Rua Ricardo Vivian, s/n",(49) 3665-1044,apaeiraceminha@yahoo.com.br,,,
Irani,Oeste,APAE DE IRANI,Ambos,"Rua Rosalino Rodrigues, no 327 – Irani – SC – CEP - 8968000",(49) 3432-0244,irani@apaesc.org.br,,,
Itá,Oeste,APAE DE ITÁ,CIPTEA,"Rua Vinte e Um, 138 Natureza - Itá 89760-000",(49) 3458-1536,apaeita2020@gmail.com,,,
Itajaí,Vale do Itajaí,AMA ITAJAÍ,CIPTEA,"Rua Herculano Corrêa, 101 Centro Itajaí Cep 88301-580",(47) 2125-1960 / (47) 99243-0472,ama-itajai@hotmail.com,,,
Itajaí,Vale do Itajaí,APAE de Itajaí,Passe Livre,"Av. Joca Brandão, 537 - Centro, Itajaí - SC, 88301-441",(47) 3348-8813,apae.itj@terra.com.br,,,
Itapema,Vale do Itajaí,APAE DE ITAPEMA,Passe Livre,"Rua 458,nº 492, Bairro Centro, 88.220-000",(47)3368-6542 e (47)9698-7908,apaeitapemaescola@gmail.com,,,
Itapiranga,Oeste,APAE DE ITAPIRANGA,Ambos,"Rua Da Matriz, nº 1025 - Bairro Do Parque - Itapiranga",(49) 3677 0881,apaeitapiranga@yahoo.com.br,,,
Ituporanga,Vale do Itajaí,APAE DE ITUPORANGA,Ambos,"Rua Naide Guimarães de Melo, nº 50",(47) 3533-2257,apaeituporanga@yahoo.com.br,,,
Ituporanga,Vale do Itajaí,Comunidade Autista de Ituporanga,CIPTEA,"Rua Naide Guimarães de Melo, 50",(47) 3533-1423,comunidadeautistadeituporanga@gmail.com,,,
Jaguaruna,Sul,APAE DE JAGUARUNA,Ambos,Rodovia SC 442 - Km 02 - Bairro: Encruzo - Jaguaruna – SC – CEP: 88715-000,(48) 3624-0447 / 3624-0046,apaexonejaguasc@yahoo.com.br,,,
Jaraguá do Sul,Norte,APAE DE JARAGUÁ DO SUL,Ambos,"Rua Benildo Zamin, Bairro Centenário, 89256-718",(47)3370-2735 / (47)99187-8570,contato@apaejaragua.org.br,,,
Joaçaba,Oeste,APAE de Joaçaba,CIPTEA,"Rua Amiano Pozzobon, 190 - Nossa Senhora de Lourdes, Joaçaba - SC, 89600-000",(49) 3522-1167,apaejbadiretora@gmail.com,,,
Joinville,Norte,AMA JOINVILLE,CIPTEA,"Rua José Gerard Rolin Filho, 185 Bom Retiro, 89222-590",(47) 3425-5649,amajlle@gmail.com,,,
Joinville,Norte,APAE DE JOINVILLE,CIPTEA,"Rua José Elias Giuliari, nº 111, Bairro Boa Vista",(47) 3431-7400,secretaria@apaejoinville.com.br,,,
Lages,Serra,APAE DE LAGES,Passe Livre,"Rua Joaçaba, nº 280 / Centro",(49) 3222-2726,apaelages@brturbo.com.br,,,
Lages,Serra,ACASEF - Associação Catarinense de Apoio Social e Educacional à Família,CIPTEA,"Rua Lauro Muller, 141 Centro Lages - CEP: 88501-130",(49) 3225-4835 / (49) 99991-0925,acasef@gmail.com,,,
Laguna,Sul,APAE DE LAGUNA,Ambos,"Av.João Pinho, 785 Mar Grosso, 88790-000",(48) 3647-0446,apaelaguna@gmail.com,,,
Lauro Muller,Sul,APAE DE LAURO MULLER,Ambos,"Rua Padre Hercilio Capeller, 892 - Centro – Lauro Muller / SC – CEP: 88880.000",(48) 3464-3300,apaelauromuller@yahoo.com.br,,,
Luiz Alves,Vale do Itajaí,AMA de Luiz Alves,CIPTEA,"SC-414, Luiz Alves - SC, 89115-000",(47) 99746-0682,amaluizalves@gmail.com,,,
Mafra,Norte,APAE DE MAFRA,CIPTEA,"Rua Florianópolis, 12 - Bairro Centro, 89300-154",(47) 3642-1122,apaedemafra@gmail.com,,,
Maravilha,Oeste,APAE DE MARAVILHA,Ambos,"Rua Presidente Juscelino, nº 215",(49) 3664-1261 / 8839-5054,apaemaravilha@mhnet.com.br,,,
Modelo,Oeste,APAE DE MODELO,Ambos,"Rua Benjamin Constant, 59 Jardim, 89031-200",(49) 3365-3346,apaemodelo@gmail.com,,,
Mondaí,Oeste,APAE DE MONDAÍ,Ambos,"Av Porto Feliz, 960 Centro - Cep 89893-000",(49) 3674-0124,socialapaemondai@gmail.com,,,
Monte Castelo,Norte,APAE DE MONTE CASTELO,Ambos,"Rua Três de Maio, 915 Centro, 89380-000",(47) 3654-0229,apaemontecastelo79@hotmail.com,,,
Morro da Fumaça,Sul,APAE DE MORRO DA FUMAÇA,Passe Livre,"Rua Silvio Sartor, nº 320 – Morro da Fumaça",(48) 3434 1683,apaebemmequer@bol.com.br,,,
Navegantes,Vale do Itajaí,AMA NAVEGANTES,CIPTEA,"A. Prefeito José Juvenal Mafra, 99 - Centro / Navegantes - SC CEP 88.370-094",(47)9605-5045 / (47)9621-5740,amanavegantes@hotmail.com,,,
Navegantes,Vale do Itajaí,APAE DE NAVEGANTES,Passe Livre,"Rua Vandelino Lopes Fagundes, 731",(47) 3342-2175,escolanavegantes@apaebrasil.org.br,,,
Nova Veneza,Sul,APAE NOVA VENEZA,Ambos,"Rua Imigrante Luiz Gava, nº 636 - Bairro Bortolotto - Nova Veneza",(48)3436-1371,apaenv@outlook.com,,,
Orleans,Sul,APAE DE ORLEANS,Ambos,"Rua: Capitão Galdino Guedes, nº 240 - Bairro: Barro Vermelho - Orleans /SC – CEP: 88870-000",(48) 3466-0524,apaeorleans@hotmail.com,,,
Otacílio Costa,Serra,APAE de Otacílio Costa,CIPTEA,"R. Hilton Pereira, 368 - Poço Rico, Otacílio Costa - SC, 88540-000",(49) 3275-2560,eespecial.otaciliocosta@hotmail.com,,,
Palma Sola,Oeste,APAE DE PALMA SOLA,Ambos,"Rua João Pauletti, Bairro Centro, 89985-000",(49) 3652-0478,apaepalmasolaprojeto01@hotmail.com,,,
Palmitos,Oeste,APAE DE PALMITOS,Ambos,"Rua Elmiro Petry, 121 – Centro - CEP: 89887-000 – Palmitos",(49) 3647-0036,apaepalmitos@promitos.com.br,,,
Papanduva,Norte,APAE DE PAPANDUVA,Ambos,"Rua Basilio Heuko, 1035, Hospital 89370000",(47) 3653-2538,apaepapanduva@hotmail.com,,,
Passo de Torres,Sul,APAE DE PASSO DE TORRES,CIPTEA,"Rua Caxias do Sul, nº 162 Passargada, Passo de Torres, 88.980000",(48) 3548-0637,apaepassodetorres@hotmail.com,,,
Penha,Vale do Itajaí,AMA DE PENHA,CIPTEA,"Rua José Carlos Vieira, nº 36, Bairro Centro - Penha",(47) 9215-9658,amapenhasc@hotmail.com,,,
Pinhalzinho,Oeste,APAE DE PINHALZINHO,Ambos,"Rua São Salvador, nº 1258 – Bairro Efacip – Pinhalzinho / SC",(49) 3366-1279 / 8434-5902,apae@apaepinhalzinhosc.com.br,,,
Pomerode,Vale do Itajaí,APAE DE POMERODE,Ambos,"Rua Alberto Spredemann, 200 - Ribeirão Areia - Pomerode/SC - CEP: 89107-000",(47) 3387-1666 / 3387-0652,apae@apaepomerode.com.br,,,
Porto Belo,Vale do Itajaí,APAE DE PORTO BELO / BOMBINHAS,Ambos,"Avenida Governador Celso Ramos, 3016 - Centro/ Porto Belo",(47) 3369-4321,apae.pb@ibest.com.br,,,
Pouso Redondo,Vale do Itajaí,APAE DE POUSO REDONDO,CIPTEA,"Rua Ella Sthamer, 419 /Bairro Progresso – Pouso Redondo - SC",(47) 3545-1072,apaepousoredondo@uol.com.br,,,
Presidente Getúlio,Vale do Itajaí,APAE PRESIDENTE GETÚLIO,Ambos,"Rua Henrique Fuerbringer, 753, Centro 89150000",(47) 3352-1144,apaepresgetulio@hotmail.com,,,
Quilombo,Oeste,APAE DE QUILOMBO,Passe Livre,"Rua Papa Pio XII, nº 1040, Nova Esperança - Quilombo/SC",(49) 3346-3079,apaequilombo@yahoo.com.br,,,
Rancho Queimado,Grande Florianópolis,APAE DE RANCHO QUEIMADO,Ambos,"Rua Vereador Celso Jasper, nº 109, Bairro Centro - Rancho Queimado",(48) 2100-1027,apaerqsc@gmail.com,,,
Rio do Campo,Vale do Itajaí,APAE DE RIO DO CAMPO,Ambos,Rua João Contezini,(47) 3564-1118,apaeriodocampo@yahoo.com.br,,,
Rio do Sul,Vale do Itajaí,APAE DE RIO DO SUL,Ambos,"Av Sete de Setembro, 467, Centro 88160000",(47) 3521-3468,contato@apaeriodosul.com.br,,,
Rio Fortuna,Sul,APAE DE RIO FORTUNA,Ambos,"Av Sete de Setembro, 1615",(48) 3653-1239,apaerf@hotmail.com,,,
Rio Negrinho,Norte,APAE DE RIO NEGRINHO,CIPTEA,"Rodovia BR 280, nº 1540 / Bairro Vila Nova",(47) 3644-9635,apaesecretariarionegrinho@gmail.com,,,
Salete,Vale do Itajaí,APAE DE SALETE,CIPTEA,"Rua Mathias Loc, nº 15 - Centro - Salete",(47) 3563-0192,apaesalete@yahoo.com.br,,,
Salto Veloso,Oeste,APAE DE SALTO VELOSO,CIPTEA,"Rua João de Bortoli, 90 - Centro, 89595-000",(49) 3536-0561,apaesalto@acisv.com.br,,,
Sangão,Sul,APAE DE SANGÃO,Ambos,"Rua: 30 de Março, nº 550 - Centro - Sangão - CEP: 88717-000",(48) 3656-0585,apaedesangao@hotmail.com,,,
Santa Cecília,Serra,APAE DE SANTA CECÍLIA,Ambos,"Rua Guilherme Rauen, nº 785",(49) 3244-2434 / 3244-2521,apaesc@bol.com.br,,,
Santa Rosa do Sul,Sul,APAE DE SANTA ROSA DO SUL,Ambos,"Rua Rafael Pedro Fernandes, 260 Bairro Centro, 88965-000",(48) 3534-2929,apaesantarosadosulsc@hotmail.com,,,
Santo Amaro da Imperatriz,Grande Florianópolis,APAE DE SANTO AMARO DA IMPERATRIZ,Ambos,"Rua Leopoldo João Meurer nº 87, Centro, Santo Amaro da Imperatriz - SC, CEP 88140-000",(48) 3245-6206,apaesantoamaro@terra.com.br,,,
São Carlos,Oeste,APAE DE SÃO CARLOS,Ambos,"Rua Cerino Reischert, nº 180 – Centro -CEP: 89885000",(49) 3325-4899,apaesc.secretaria@gmail.com,,,
São Domingos,Oeste,APAE DE SÃO DOMINGOS,Ambos,"Rua Nereu Ramos, Nº 1037 - Centro",(49) 3443-1061,apaesd85@gmail.com,,,
São João do Oeste,Oeste,APAE DE SÃO JOÃO DO OESTE,Passe Livre,"Rua do Imigrante, 50 - Centro - 89897-000",(49)3636-1135,apaesaojoaodooste@yahoo.com.br,,,
São Joaquim,Serra,APAE DE SÃO JOAQUIM,Ambos,"Rua Agripa de Castro Farias, nº 20",(49) 3233-1324,apaesaojoaquimsc@gmail.com,,,
São José,Grande Florianópolis,Fundação Catatinense de Educação Especial FCEE,Ambos,"R. Paulino Pedro Hermes, 2785 - Nossa Sra. do Rosario, São José - SC, 88110-694",(48) 3664-4948,passelivre@fcee.sc.gov.br,36000,7000,39000
São José do Cedro,Oeste,APAE DE SÃO JOSÉ DO CEDRO,Ambos,"Rua Jacob Stein, nº 91 – Centro – São José do Cedro / SC - CEP: 89930-000",(49) 3643-1856,escolaespecialviviane@hotmail.com,,,
São Lourenço do Oeste,Oeste,APAE DE SÃO LOURENÇO DO OESTE,Ambos,"Rua Duque de Caxias, 940 – Centro – São Lourenço do Oeste/SC",(49) 3344-1404,apaeslo@yahoo.com.br,,,
São Ludgero,Sul,APAE DE SÃO LUDGERO,Ambos,"Rua Reinaldo Bruning, 315 Bairro Evolução - São Ludgero - SC",(48) 3657-0093,apaesaoludgero@gmail.com,,,
São Martinho,Sul,APAE DE SÃO MARTINHO,Passe Livre,"Rua Francisco Beckhauser, nº 234 – Centro São Martinho – SC - CEP: 88765-000",(48) 3645-6137,apaesaomartinho@hotmail.com,,,
São Miguel do Oeste,Oeste,APAE DE SÃO MIGUEL DO OESTE,Ambos,"Rua Marcilio Dias, 3200. Bairro Jardim Peperi, São Miguel do Oeste/SC, 89.900-000",(49) 3622-6312,apaesmo@gmail.com,,,
Siderópolis,Sul,APAE DE SIDERÓPOLIS,Ambos,"Rua Diomício Freitas, nº 79 - Centro - Siderópolis / SC - CEP: 88.860-000",(48) 3435-3324,apaesideropolis@yahoo.com.br,,,
Sombrio,Sul,APAE DE SOMBRIO,Ambos,"Rua Emanuel Worffel, nº 883 – Bairro São Luis – Sombrio / SC – CEP: 88960-000",(48) 3533-0723,apae_sombrio@yahoo.com.br,,,
Taió,Vale do Itajaí,APAE DE TAIÓ,Ambos,Rod Bruno Heidrich - SC 422 - km 02 - nº 1588,(47) 3562-0269,apaetaio@yahoo.com.br,,,
Tijucas,Grande Florianópolis,APAE DE TIJUCAS,Ambos,"Av. Hercílio Luz, nº 380, Tijucas- 88.200-000",(48) 3263-0279,apaedetijucas@terra.com.br,,,
Timbé do Sul,Sul,APAE DE TIMBÉ DO SUL,Ambos,"Rua Pedro Panatta, nº 200 – Centro - CEP: 88.940-000 - Timbé Do Sul - SC",(48) 3536-1057,apaetimbe@hotmail.com,,,
Timbó,Vale do Itajaí,APAE DE TIMBÓ,Ambos,"Rua Capanema, nº 140 - Bairro Capitais – Timbó – CEP – 89120000",(47) 3382-0535,apaetimbosc@gmail.com,,,
Três Barras,Norte,APAE DE TRÊS BARRAS,Ambos,"Rua Joaçaba, nº 280 / Centro",(47) 3623-0205,apaetb@yahoo.com.br,,,
Tubarão,Sul,APAE DE TUBARÃO,Ambos,"Rua Lauro Muller, 3171 Passagem, 88705-101",(48) 3626-1312,contato@apaetubarao.org.br,,,
Urubici,Serra,APAE DE URUBICI,Ambos,"Rua Clarismundo José Custódio, nº 980",(49) 3278-4475,apaeurubici@hotmail.com,,,
Urussanga,Sul,APAE DE URUSSANGA,Ambos,"Rua Vidal Ramos, nº 261",(48) 3465-1586,apaeurussanga@engeplus.com.br,,,
Vargem Bonita,Oeste,APAE DE VARGEM BONITA,Ambos,"Rua José De Alencar, S/N – Centro - Vargem Bonita CEP: 89675-000",(49) 3548-0107,apaevb@yahoo.com.br,,,
Videira,Oeste,AMA VIDEIRA,CIPTEA,"Rua Padre Anchieta, 1138 - Bairro Matriz - Videira CEP 89.560-250",(49) 3551-1897 / (49) 9159-7286,contato@amavideira.org.br,,,
Xanxerê,Oeste,APAE DE XANXERE,Ambos,"Rua Francisco Britz de Miranda, 305, Veneza 89820000",(49) 3433-1000,apaexxe@yahoo.com.br,,,
Xaxim,Oeste,APAE DE XAXIM,Ambos,"Rua Avelino Lunardi, 247, Ari Lunardi 898250-000",(49) 3353-8229,apaexxsc@desbrava.com.br,,,
